Agent_ID,Product_Category,Commission_Percentage
Agent_767692,Home & Furniture,48.98
Agent_1326775,Electronics,81.64
Agent_1291245,Auto & Accessories,94.94
Agent_2384538,Home & Furniture,72.83
Agent_2355313,Electronics,2.60
Agent_1137654,Home & Furniture,96.50
Agent_1550105,Auto & Accessories,36.47
Agent_1811520,Home & Furniture,68.76
Agent_63005,Auto & Accessories,99.55
Agent_2221388,Home & Furniture,39.62
Agent_1318792,Fashion,82.30
Agent_1918541,Electronics,55.74
Agent_1531885,Electronics,60.11
Agent_1992134,Fashion,25.03
Agent_78107,Home & Furniture,19.14
Agent_429566,Electronics,63.60
Agent_2377356,Auto & Accessories,4.47
Agent_1722674,Fashion,9.64
Agent_464385,Fashion,45.54
Agent_1570049,Fashion,63.32
Agent_498743,Home & Furniture,60.50
Agent_612302,Electronics,2.10
Agent_1893761,Auto & Accessories,85.72
Agent_380442,Auto & Accessories,19.43
Agent_2297466,Fashion,61.91
Agent_913487,Fashion,59.59
Agent_1713166,Fashion,74.11
Agent_2285779,Auto & Accessories,96.78
Agent_2355129,Electronics,40.87
Agent_768028,Electronics,30.00
Agent_784316,Home & Furniture,33.37
Agent_959279,Fashion,24.90
Agent_766506,Electronics,46.64
Agent_1345087,Home & Furniture,86.59
Agent_2166034,Fashion,44.77
Agent_1906412,Auto & Accessories,96.51
Agent_1562317,Auto & Accessories,11.33
Agent_578173,Fashion,18.33
Agent_988658,Electronics,85.98
Agent_546692,Electronics,82.44
Agent_2116004,Fashion,46.27
Agent_39564,Home & Furniture,86.55
Agent_1792936,Electronics,38.14
Agent_2293631,Auto & Accessories,44.56
Agent_1134333,Electronics,62.14
Agent_297856,Fashion,13.36
Agent_786893,Auto & Accessories,17.25
Agent_512847,Electronics,11.69
Agent_171363,Electronics,33.85
Agent_586586,Fashion,45.74
Agent_2189337,Auto & Accessories,4.59
Agent_780067,Electronics,30.96
Agent_1110860,Electronics,51.91
Agent_747100,Home & Furniture,91.90
Agent_1687062,Electronics,21.26
Agent_1821408,Fashion,12.96
Agent_275663,Electronics,58.72
Agent_1545770,Electronics,25.22
Agent_931576,Home & Furniture,27.07
Agent_2295775,Fashion,64.76
Agent_1603210,Fashion,22.16
Agent_2394659,Fashion,45.86
Agent_2189639,Fashion,54.68
Agent_1909974,Home & Furniture,64.57
Agent_1196939,Auto & Accessories,64.01
Agent_731019,Auto & Accessories,41.61
Agent_1056949,Fashion,96.04
Agent_1869512,Fashion,31.24
Agent_825435,Auto & Accessories,57.13
Agent_2391741,Fashion,25.90
Agent_2247234,Fashion,59.12
Agent_2121197,Fashion,26.46
Agent_980473,Electronics,95.67
Agent_1308613,Home & Furniture,62.57
Agent_2124001,Electronics,29.40
Agent_334865,Auto & Accessories,81.16
Agent_2190989,Fashion,66.02
Agent_246057,Fashion,51.79
Agent_2240076,Home & Furniture,8.25
Agent_155433,Fashion,94.38
Agent_502548,Fashion,36.44
Agent_1905826,Fashion,54.53
Agent_1309240,Fashion,5.88
Agent_1980190,Fashion,97.57
Agent_2085211,Home & Furniture,10.07
Agent_674618,Fashion,35.96
Agent_1830661,Fashion,95.92
Agent_1875588,Electronics,18.48
Agent_893865,Auto & Accessories,27.15
Agent_2160199,Auto & Accessories,73.99
Agent_1505301,Auto & Accessories,15.31
Agent_1516613,Fashion,76.43
Agent_17668,Electronics,96.00
Agent_1361200,Home & Furniture,11.10
Agent_642091,Auto & Accessories,86.74
Agent_1092036,Electronics,17.80
Agent_1950128,Fashion,36.94
Agent_1096766,Auto & Accessories,71.18
Agent_2366175,Home & Furniture,79.40
Agent_1538676,Fashion,1.27
Agent_1369119,Auto & Accessories,72.95
Agent_2012983,Electronics,94.25
Agent_1427580,Fashion,97.59
Agent_1186985,Electronics,40.90
Agent_126587,Auto & Accessories,57.57
Agent_264915,Auto & Accessories,58.64
Agent_940585,Home & Furniture,16.88
Agent_1722801,Electronics,44.66
Agent_1151227,Fashion,21.10
Agent_2390229,Auto & Accessories,22.30
Agent_1957106,Home & Furniture,99.47
Agent_1496679,Fashion,81.81
Agent_384057,Fashion,72.68
Agent_426198,Auto & Accessories,36.25
Agent_1267139,Auto & Accessories,11.04
Agent_1670626,Electronics,50.88
Agent_2260861,Fashion,37.74
Agent_420063,Electronics,19.93
Agent_1579013,Electronics,64.65
Agent_1881459,Home & Furniture,82.71
Agent_1812177,Fashion,10.63
Agent_234083,Home & Furniture,81.43
Agent_1844820,Fashion,95.94
Agent_1844487,Fashion,21.15
Agent_602219,Auto & Accessories,8.31
Agent_1704801,Home & Furniture,64.61
Agent_218996,Electronics,12.97
Agent_1400739,Home & Furniture,64.30
Agent_497488,Electronics,63.61
Agent_1570651,Fashion,55.29
Agent_1327722,Electronics,16.75
Agent_1567637,Electronics,63.15
Agent_1491946,Electronics,66.23
Agent_1947734,Fashion,47.34
Agent_1858391,Fashion,74.05
Agent_1518889,Auto & Accessories,52.67
Agent_240871,Fashion,82.07
Agent_1408238,Home & Furniture,23.97
Agent_1872560,Home & Furniture,25.68
Agent_551799,Home & Furniture,22.70
Agent_632602,Fashion,11.28
Agent_164358,Electronics,25.37
Agent_2070432,Auto & Accessories,32.81
Agent_248940,Fashion,27.89
Agent_1157686,Fashion,80.99
Agent_907196,Fashion,26.56
Agent_2109589,Electronics,51.16
Agent_636664,Home & Furniture,61.84
Agent_1502921,Auto & Accessories,74.49
Agent_741569,Fashion,18.52
Agent_817022,Electronics,35.35
Agent_2318161,Auto & Accessories,59.80
Agent_2319138,Auto & Accessories,18.37
Agent_495813,Auto & Accessories,99.11
Agent_2235087,Fashion,85.91
Agent_1056676,Auto & Accessories,98.62
Agent_1617830,Fashion,61.31
Agent_599654,Electronics,31.90
Agent_1608262,Auto & Accessories,19.11
Agent_276760,Auto & Accessories,96.74
Agent_133854,Electronics,75.05
Agent_1690557,Auto & Accessories,41.73
Agent_1162222,Home & Furniture,87.10
Agent_1064624,Electronics,14.36
Agent_2276262,Auto & Accessories,15.46
Agent_715434,Auto & Accessories,2.79
Agent_366686,Fashion,60.00
Agent_910842,Electronics,57.54
Agent_1933677,Auto & Accessories,27.28
Agent_595010,Home & Furniture,80.26
Agent_1261352,Electronics,46.76
Agent_1305130,Electronics,23.25
Agent_594780,Home & Furniture,65.70
Agent_2294519,Fashion,59.50
Agent_1669307,Home & Furniture,66.80
Agent_505023,Fashion,36.37
Agent_127604,Electronics,39.41
Agent_508338,Auto & Accessories,97.36
Agent_2069237,Fashion,66.14
Agent_2184301,Home & Furniture,59.46
Agent_1966609,Fashion,76.45
Agent_1975526,Auto & Accessories,52.82
Agent_372032,Home & Furniture,21.67
Agent_1853175,Home & Furniture,71.86
Agent_303638,Fashion,3.95
Agent_1341437,Home & Furniture,49.54
Agent_648247,Fashion,17.03
Agent_1528647,Electronics,25.01
Agent_1757778,Fashion,52.60
Agent_746898,Fashion,67.34
Agent_921042,Electronics,43.92
Agent_1240697,Electronics,16.17
Agent_36609,Auto & Accessories,31.67
Agent_1000290,Electronics,31.16
Agent_1642417,Home & Furniture,42.20
Agent_2227453,Electronics,52.12
Agent_611445,Electronics,65.71
Agent_1940423,Home & Furniture,53.73
Agent_1003101,Home & Furniture,30.62
Agent_782340,Home & Furniture,54.84
Agent_1531350,Auto & Accessories,46.21
Agent_1565625,Fashion,4.82
Agent_2362137,Home & Furniture,18.27
Agent_282366,Auto & Accessories,51.39
Agent_1500542,Auto & Accessories,80.23
Agent_2248075,Fashion,47.58
Agent_1968490,Fashion,12.43
Agent_1964964,Electronics,17.72
Agent_593952,Electronics,79.98
Agent_120598,Electronics,42.96
Agent_786698,Home & Furniture,31.62
Agent_40162,Fashion,25.34
Agent_2225559,Home & Furniture,93.29
Agent_1462622,Auto & Accessories,65.61
Agent_263754,Home & Furniture,14.18
Agent_690923,Auto & Accessories,79.48
Agent_66816,Fashion,84.15
Agent_1826977,Auto & Accessories,61.00
Agent_1698085,Home & Furniture,31.04
Agent_130566,Auto & Accessories,97.48
Agent_1260702,Auto & Accessories,17.90
Agent_1505222,Auto & Accessories,83.12
Agent_483131,Fashion,98.82
Agent_599035,Fashion,94.48
Agent_1455970,Home & Furniture,60.10
Agent_910022,Home & Furniture,43.72
Agent_1527444,Auto & Accessories,17.30
Agent_193451,Fashion,15.73
Agent_1286162,Electronics,31.24
Agent_552437,Home & Furniture,90.56
Agent_2345764,Electronics,83.13
Agent_875019,Auto & Accessories,46.09
Agent_86090,Home & Furniture,90.86
Agent_985379,Home & Furniture,84.03
Agent_609385,Auto & Accessories,70.91
Agent_1550642,Fashion,35.50
Agent_2314728,Fashion,18.66
Agent_1222989,Fashion,23.55
Agent_851914,Home & Furniture,77.14
Agent_2231651,Fashion,19.95
Agent_1000644,Home & Furniture,85.73
Agent_711945,Home & Furniture,87.01
Agent_1091191,Auto & Accessories,78.05
Agent_693610,Electronics,39.63
Agent_1424480,Home & Furniture,54.00
Agent_1082442,Auto & Accessories,28.49
Agent_876584,Home & Furniture,35.94
Agent_1464049,Auto & Accessories,35.16
Agent_58354,Electronics,16.69
Agent_1081205,Electronics,62.84
Agent_401030,Auto & Accessories,42.52
Agent_838837,Electronics,81.61
Agent_1481985,Auto & Accessories,66.18
Agent_1328462,Fashion,11.87
Agent_348869,Fashion,34.33
Agent_86429,Home & Furniture,75.11
Agent_2339805,Fashion,58.07
Agent_2150984,Electronics,76.79
Agent_451257,Home & Furniture,67.57
Agent_723599,Home & Furniture,32.37
Agent_1026844,Fashion,17.45
Agent_774282,Fashion,39.24
Agent_2208674,Auto & Accessories,86.19
Agent_1197607,Home & Furniture,60.04
Agent_762864,Home & Furniture,21.51
Agent_2365233,Auto & Accessories,14.51
Agent_285758,Home & Furniture,8.76
Agent_512582,Electronics,64.77
Agent_445995,Fashion,91.09
Agent_1588186,Home & Furniture,89.39
Agent_1193151,Fashion,72.25
Agent_1475495,Fashion,60.45
Agent_1953133,Auto & Accessories,69.25
Agent_1857999,Auto & Accessories,3.48
Agent_370760,Home & Furniture,30.90
Agent_2335565,Electronics,44.53
Agent_1305166,Fashion,12.54
Agent_2315905,Electronics,59.13
Agent_466416,Fashion,76.39
Agent_1158079,Electronics,65.28
Agent_2201181,Auto & Accessories,58.35
Agent_767360,Electronics,76.36
Agent_1065741,Home & Furniture,53.00
Agent_983882,Auto & Accessories,1.18
Agent_1940607,Auto & Accessories,37.08
Agent_63432,Auto & Accessories,93.63
Agent_991353,Fashion,36.81
Agent_1617677,Fashion,51.57
Agent_1682238,Fashion,12.87
Agent_13349,Fashion,18.35
Agent_1069849,Fashion,21.07
Agent_758835,Home & Furniture,9.17
Agent_824029,Auto & Accessories,10.77
Agent_874304,Electronics,67.09
Agent_1328567,Home & Furniture,7.66
Agent_1041270,Electronics,27.52
Agent_676674,Home & Furniture,76.59
Agent_1537086,Home & Furniture,34.27
Agent_648793,Fashion,73.58
Agent_429933,Fashion,89.50
Agent_2234861,Home & Furniture,10.28
Agent_2197972,Fashion,30.84
Agent_2194353,Fashion,41.97
Agent_2319778,Electronics,33.70
Agent_1937259,Home & Furniture,87.22
Agent_494396,Home & Furniture,59.17
Agent_69003,Electronics,33.05
Agent_547326,Auto & Accessories,29.50
Agent_73860,Electronics,68.41
Agent_822092,Home & Furniture,43.31
Agent_2315183,Auto & Accessories,28.93
Agent_1987806,Fashion,25.48
Agent_973409,Home & Furniture,41.98
Agent_2038368,Home & Furniture,40.16
Agent_51078,Fashion,29.97
Agent_674019,Auto & Accessories,36.85
Agent_973523,Electronics,42.11
Agent_1263833,Auto & Accessories,20.77
Agent_1032705,Home & Furniture,71.43
Agent_797442,Fashion,6.88
Agent_1289981,Auto & Accessories,62.52
Agent_1277682,Fashion,29.94
Agent_1740004,Auto & Accessories,23.38
Agent_1557058,Electronics,14.54
Agent_2365653,Home & Furniture,50.58
Agent_1746481,Electronics,9.08
Agent_1845970,Fashion,58.13
Agent_2264782,Home & Furniture,59.29
Agent_2062132,Auto & Accessories,39.66
Agent_1041839,Home & Furniture,20.51
Agent_1988431,Fashion,99.47
Agent_610592,Auto & Accessories,23.57
Agent_635669,Auto & Accessories,5.49
Agent_1653750,Home & Furniture,4.64
Agent_688775,Home & Furniture,31.27
Agent_381367,Home & Furniture,79.77
Agent_1189699,Fashion,97.66
Agent_1982175,Fashion,42.22
Agent_699462,Electronics,13.13
Agent_2181383,Fashion,64.25
Agent_1228661,Auto & Accessories,2.43
Agent_1939549,Auto & Accessories,90.72
Agent_1893311,Electronics,44.37
Agent_192422,Electronics,64.66
Agent_1463507,Fashion,60.26
Agent_1610829,Fashion,96.27
Agent_39506,Home & Furniture,76.83
Agent_1038492,Auto & Accessories,38.71
Agent_1221173,Fashion,9.09
Agent_1484766,Fashion,22.89
Agent_345814,Home & Furniture,57.90
Agent_1205836,Electronics,78.29
Agent_211531,Fashion,93.87
Agent_1827415,Fashion,39.91
Agent_1883548,Electronics,57.43
Agent_265588,Electronics,86.31
Agent_509426,Fashion,12.19
Agent_313911,Electronics,60.70
Agent_2102053,Electronics,45.51
Agent_110946,Fashion,70.88
Agent_235767,Fashion,71.63
Agent_1449345,Electronics,58.48
Agent_236656,Electronics,6.15
Agent_2044535,Home & Furniture,88.42
Agent_364694,Auto & Accessories,69.07
Agent_1948675,Auto & Accessories,70.94
Agent_1021715,Fashion,12.89
Agent_2280997,Auto & Accessories,27.05
Agent_540207,Home & Furniture,17.65
Agent_1339674,Fashion,79.63
Agent_460779,Fashion,70.12
Agent_900805,Electronics,75.75
Agent_2155851,Electronics,31.62
Agent_1825908,Electronics,15.78
Agent_1051824,Fashion,14.56
Agent_333127,Electronics,22.01
Agent_946531,Auto & Accessories,11.93
Agent_1632403,Electronics,89.99
Agent_1943055,Electronics,62.97
Agent_1926870,Home & Furniture,57.79
Agent_1954989,Home & Furniture,19.85
Agent_1163225,Home & Furniture,27.24
Agent_718665,Electronics,91.40
Agent_198109,Fashion,52.94
Agent_140397,Electronics,37.81
Agent_662888,Auto & Accessories,22.36
Agent_2128189,Fashion,52.51
Agent_984124,Electronics,31.80
Agent_224922,Home & Furniture,49.56
Agent_894355,Fashion,61.12
Agent_1533642,Electronics,79.03
Agent_1885699,Electronics,75.50
Agent_431076,Auto & Accessories,88.82
Agent_1909577,Electronics,5.05
Agent_2240131,Electronics,21.93
Agent_1351904,Auto & Accessories,36.18
Agent_1460428,Fashion,65.00
Agent_816767,Electronics,27.55
Agent_534475,Auto & Accessories,30.20
Agent_1368644,Home & Furniture,70.69
Agent_329789,Electronics,51.79
Agent_2087292,Home & Furniture,87.24
Agent_508529,Fashion,47.12
Agent_1732786,Electronics,66.32
Agent_150053,Electronics,22.67
Agent_648935,Electronics,24.69
Agent_1701511,Home & Furniture,63.97
Agent_1024385,Fashion,43.94
Agent_530277,Auto & Accessories,58.41
Agent_616356,Electronics,63.40
Agent_2365923,Electronics,90.82
Agent_767675,Electronics,19.26
Agent_1067169,Fashion,47.51
Agent_1630739,Home & Furniture,70.65
Agent_2285431,Electronics,12.50
Agent_754014,Home & Furniture,46.94
Agent_1308132,Fashion,39.25
Agent_1938592,Auto & Accessories,30.89
Agent_254474,Fashion,98.80
Agent_1143796,Electronics,39.60
Agent_2255677,Home & Furniture,81.91
Agent_2084127,Auto & Accessories,85.87
Agent_347761,Home & Furniture,49.84
Agent_410260,Electronics,52.97
Agent_2247430,Home & Furniture,90.89
Agent_633821,Fashion,5.55
Agent_601399,Auto & Accessories,93.46
Agent_1392573,Home & Furniture,19.98
Agent_875534,Electronics,77.38
Agent_1175834,Electronics,85.65
Agent_1767687,Electronics,34.22
Agent_2281644,Fashion,46.85
Agent_959527,Electronics,44.66
Agent_832728,Auto & Accessories,59.13
Agent_275232,Electronics,87.11
Agent_1320502,Electronics,93.60
Agent_1701707,Home & Furniture,6.74
Agent_929495,Fashion,75.80
Agent_1300689,Home & Furniture,20.42
Agent_2116272,Auto & Accessories,48.67
Agent_2053859,Electronics,6.43
Agent_740032,Auto & Accessories,13.73
Agent_2292208,Electronics,15.08
Agent_1707462,Electronics,25.62
Agent_1957754,Home & Furniture,28.09
Agent_480871,Electronics,36.03
Agent_1511744,Auto & Accessories,67.46
Agent_2045001,Electronics,32.08
Agent_1181250,Auto & Accessories,63.22
Agent_1214179,Auto & Accessories,36.69
Agent_964868,Home & Furniture,49.49
Agent_390838,Auto & Accessories,36.96
Agent_1400465,Fashion,44.63
Agent_822683,Home & Furniture,81.57
Agent_1198228,Home & Furniture,9.98
Agent_1301382,Electronics,41.83
Agent_50717,Home & Furniture,80.15
Agent_422407,Fashion,57.32
Agent_115287,Auto & Accessories,23.93
Agent_955978,Home & Furniture,59.86
Agent_88407,Electronics,55.63
Agent_1440941,Electronics,52.04
Agent_730373,Fashion,75.36
Agent_429273,Home & Furniture,60.60
Agent_987597,Home & Furniture,56.83
Agent_541206,Fashion,90.24
Agent_2206453,Auto & Accessories,79.14
Agent_938542,Home & Furniture,73.70
Agent_612683,Auto & Accessories,42.51
Agent_1881248,Home & Furniture,89.88
Agent_2007399,Auto & Accessories,96.82
Agent_1961187,Home & Furniture,28.71
Agent_539530,Auto & Accessories,5.39
Agent_1413346,Fashion,56.63
Agent_144908,Electronics,19.11
Agent_927206,Auto & Accessories,85.33
Agent_807504,Auto & Accessories,7.89
Agent_1157579,Fashion,77.66
Agent_1783587,Auto & Accessories,36.68
Agent_1929345,Fashion,41.78
Agent_109285,Electronics,10.79
Agent_1470201,Fashion,91.96
Agent_402228,Home & Furniture,27.38
Agent_2245545,Electronics,87.70
Agent_1060706,Home & Furniture,85.86
Agent_1934945,Electronics,22.79
Agent_740890,Home & Furniture,18.78
Agent_2317811,Electronics,36.16
Agent_1308319,Fashion,33.70
Agent_1241185,Home & Furniture,13.23
Agent_322177,Electronics,35.31
Agent_372296,Home & Furniture,45.51
Agent_1821157,Fashion,33.46
Agent_1755774,Auto & Accessories,99.13
Agent_559805,Auto & Accessories,53.73
Agent_151301,Fashion,60.01
Agent_1976992,Fashion,43.97
Agent_1044695,Home & Furniture,28.73
Agent_2241759,Fashion,84.27
Agent_1537733,Auto & Accessories,60.44
Agent_1553546,Home & Furniture,29.79
Agent_1445061,Electronics,77.75
Agent_1096701,Home & Furniture,12.76
Agent_393219,Fashion,59.73
Agent_1119785,Auto & Accessories,37.59
Agent_163186,Fashion,6.48
Agent_787141,Electronics,74.28
Agent_2127007,Electronics,69.62
Agent_1258815,Auto & Accessories,34.31
Agent_758236,Electronics,37.64
Agent_2240857,Home & Furniture,29.00
Agent_1864668,Home & Furniture,51.29
Agent_1084310,Home & Furniture,64.00
Agent_1343869,Electronics,30.06
Agent_889997,Auto & Accessories,34.82
Agent_673904,Home & Furniture,68.54
Agent_1950666,Fashion,33.31
Agent_1614605,Home & Furniture,27.27
Agent_400173,Auto & Accessories,83.66
Agent_1413978,Electronics,96.62
Agent_2295460,Fashion,77.02
Agent_1154081,Home & Furniture,23.49
Agent_1034353,Electronics,53.28
Agent_2245050,Fashion,91.35
Agent_156667,Fashion,6.58
Agent_573174,Auto & Accessories,47.49
Agent_2308804,Fashion,79.36
Agent_1651194,Electronics,98.42
Agent_2093757,Electronics,78.81
Agent_2344415,Auto & Accessories,14.57
Agent_979377,Fashion,31.65
Agent_1029530,Fashion,38.37
Agent_517411,Home & Furniture,36.40
Agent_389858,Electronics,70.33
Agent_1797982,Fashion,63.77
Agent_2099949,Electronics,50.27
Agent_2277288,Fashion,86.69
Agent_1011389,Electronics,81.61
Agent_1860904,Home & Furniture,13.51
Agent_1743543,Fashion,96.68
Agent_2094466,Fashion,10.21
Agent_1798637,Home & Furniture,39.45
Agent_1217512,Fashion,82.79
Agent_1586814,Electronics,61.56
Agent_1679275,Auto & Accessories,62.43
Agent_2073427,Home & Furniture,11.36
Agent_570452,Electronics,19.01
Agent_491856,Electronics,67.08
Agent_299281,Fashion,56.92
Agent_975454,Fashion,2.04
Agent_569368,Fashion,69.82
Agent_311927,Fashion,9.40
Agent_2214070,Fashion,21.27
Agent_1059403,Home & Furniture,21.40
Agent_1244382,Auto & Accessories,96.50
Agent_1693581,Fashion,35.71
Agent_736243,Home & Furniture,78.68
Agent_1277856,Electronics,38.57
Agent_1107190,Auto & Accessories,61.29
Agent_483400,Fashion,37.48
Agent_2381959,Electronics,5.60
Agent_1680613,Home & Furniture,76.63
Agent_28233,Auto & Accessories,96.46
Agent_1048181,Electronics,20.80
Agent_110364,Electronics,51.41
Agent_1795143,Auto & Accessories,67.37
Agent_246789,Electronics,3.92
Agent_2216833,Home & Furniture,83.89
Agent_535216,Home & Furniture,90.46
Agent_1506251,Electronics,35.17
Agent_1968735,Fashion,42.36
Agent_814806,Auto & Accessories,66.76
Agent_2131391,Fashion,35.19
Agent_1742486,Fashion,36.48
Agent_131420,Fashion,68.16
Agent_834710,Fashion,29.16
Agent_403366,Electronics,45.50
Agent_40229,Fashion,2.31
Agent_1387975,Home & Furniture,88.81
Agent_452727,Auto & Accessories,98.30
Agent_1032657,Fashion,6.44
Agent_1778562,Auto & Accessories,78.13
Agent_1986180,Fashion,38.99
Agent_900025,Auto & Accessories,94.71
Agent_1308671,Home & Furniture,55.91
Agent_1306247,Home & Furniture,62.11
Agent_363043,Home & Furniture,54.70
Agent_1196786,Fashion,86.43
Agent_2279413,Fashion,50.54
Agent_2082688,Auto & Accessories,10.49
Agent_1438864,Auto & Accessories,19.85
Agent_2244317,Home & Furniture,63.77
Agent_881250,Home & Furniture,97.87
Agent_1727639,Auto & Accessories,6.67
Agent_1913478,Fashion,2.83
Agent_1258858,Fashion,19.69
Agent_950327,Electronics,59.76
Agent_2058645,Auto & Accessories,13.40
Agent_666109,Electronics,99.74
Agent_437053,Home & Furniture,97.77
Agent_77112,Auto & Accessories,11.06
Agent_667353,Fashion,90.93
Agent_1922742,Fashion,50.32
Agent_461710,Home & Furniture,19.14
Agent_1027299,Fashion,6.02
Agent_1793971,Home & Furniture,73.70
Agent_251247,Electronics,17.92
Agent_1049268,Fashion,57.17
Agent_2287300,Fashion,3.62
Agent_184847,Home & Furniture,23.37
Agent_1573901,Fashion,75.59
Agent_2162876,Auto & Accessories,61.90
Agent_762736,Auto & Accessories,85.38
Agent_1624392,Electronics,92.11
Agent_1263762,Electronics,80.88
Agent_156115,Auto & Accessories,77.29
Agent_2198687,Home & Furniture,75.11
Agent_997919,Fashion,73.00
Agent_1610446,Fashion,45.35
Agent_465192,Fashion,91.99
Agent_127229,Home & Furniture,65.48
Agent_231984,Home & Furniture,11.80
Agent_1017960,Home & Furniture,53.13
Agent_1678271,Auto & Accessories,93.56
Agent_932161,Fashion,87.09
Agent_396754,Home & Furniture,41.84
Agent_95582,Home & Furniture,91.06
Agent_1875056,Home & Furniture,30.72
Agent_255156,Home & Furniture,74.43
Agent_2307505,Electronics,18.30
Agent_1591615,Home & Furniture,8.88
Agent_396959,Fashion,67.99
Agent_2156177,Auto & Accessories,43.50
Agent_33730,Fashion,47.99
Agent_983601,Electronics,4.50
Agent_307749,Electronics,88.82
Agent_922175,Auto & Accessories,6.86
Agent_1063221,Fashion,94.50
Agent_686127,Electronics,74.31
Agent_1287191,Home & Furniture,35.10
Agent_1565709,Electronics,97.90
Agent_64281,Auto & Accessories,38.86
Agent_2201233,Auto & Accessories,93.94
Agent_2078882,Auto & Accessories,17.27
Agent_2188791,Fashion,18.25
Agent_2325313,Electronics,62.29
Agent_2165653,Electronics,40.73
Agent_1029960,Electronics,84.69
Agent_278018,Fashion,61.48
Agent_828006,Electronics,91.03
Agent_661942,Electronics,64.33
Agent_1399683,Home & Furniture,14.90
Agent_870369,Home & Furniture,1.08
Agent_999064,Electronics,64.16
Agent_743662,Fashion,98.56
Agent_880601,Electronics,10.97
Agent_604638,Home & Furniture,78.38
Agent_1300528,Home & Furniture,25.93
Agent_1873060,Electronics,73.93
Agent_2314982,Home & Furniture,32.25
Agent_1586440,Fashion,10.13
Agent_2007094,Home & Furniture,68.45
Agent_1309407,Electronics,94.52
Agent_1061710,Fashion,67.50
Agent_113615,Electronics,61.78
Agent_1963911,Electronics,19.53
Agent_1426586,Electronics,72.62
Agent_2160412,Auto & Accessories,44.19
Agent_1683764,Electronics,2.12
Agent_345399,Auto & Accessories,50.41
Agent_2067919,Auto & Accessories,86.24
Agent_127375,Fashion,32.66
Agent_2016496,Electronics,70.53
Agent_874825,Auto & Accessories,73.00
Agent_1185660,Fashion,32.82
Agent_1980240,Home & Furniture,30.40
Agent_11545,Electronics,47.64
Agent_1192420,Auto & Accessories,63.03
Agent_278841,Electronics,89.71
Agent_1193639,Electronics,45.68
Agent_2105119,Auto & Accessories,94.91
Agent_144768,Auto & Accessories,65.87
Agent_1450800,Electronics,10.05
Agent_2361050,Electronics,98.27
Agent_1137828,Fashion,50.26
Agent_778291,Fashion,14.26
Agent_2296715,Electronics,88.94
Agent_1570723,Fashion,36.79
Agent_140226,Electronics,5.07
Agent_1566465,Home & Furniture,24.94
Agent_947621,Auto & Accessories,94.34
Agent_505590,Electronics,11.93
Agent_9226,Fashion,3.47
Agent_719639,Electronics,28.36
Agent_808790,Auto & Accessories,62.74
Agent_138467,Electronics,23.76
Agent_1312862,Fashion,33.62
Agent_2396627,Home & Furniture,12.67
Agent_321954,Home & Furniture,67.63
Agent_1723486,Home & Furniture,13.32
Agent_928936,Electronics,81.70
Agent_560865,Fashion,77.70
Agent_176797,Fashion,95.17
Agent_1857034,Electronics,29.43
Agent_703485,Home & Furniture,73.36
Agent_188483,Fashion,30.07
Agent_1942846,Electronics,45.60
Agent_2379682,Electronics,12.08
Agent_1087363,Fashion,93.19
Agent_427132,Home & Furniture,31.69
Agent_1094273,Fashion,21.02
Agent_1766010,Auto & Accessories,48.72
Agent_2223278,Home & Furniture,89.70
Agent_430063,Auto & Accessories,45.13
Agent_2138712,Auto & Accessories,74.80
Agent_1653801,Auto & Accessories,25.95
Agent_1627434,Electronics,18.27
Agent_636046,Fashion,81.27
Agent_1021608,Electronics,62.95
Agent_1642048,Fashion,68.73
Agent_1344766,Fashion,33.72
Agent_455168,Auto & Accessories,63.70
Agent_147806,Electronics,14.37
Agent_1779113,Electronics,62.26
Agent_1962665,Fashion,30.80
Agent_2402799,Home & Furniture,16.61
Agent_1113555,Home & Furniture,65.27
Agent_1561739,Fashion,61.59
Agent_274989,Auto & Accessories,58.29
Agent_50889,Electronics,49.47
Agent_2278455,Fashion,59.45
Agent_728525,Home & Furniture,26.68
Agent_1749172,Fashion,32.05
Agent_1120631,Fashion,24.45
Agent_1722292,Electronics,99.23
Agent_1558177,Fashion,83.24
Agent_1416938,Fashion,31.54
Agent_1111630,Home & Furniture,47.71
Agent_2072104,Fashion,92.83
Agent_145197,Auto & Accessories,95.75
Agent_1861403,Home & Furniture,99.38
Agent_1314685,Electronics,51.20
Agent_2268262,Fashion,93.53
Agent_2291766,Home & Furniture,88.76
Agent_562597,Electronics,31.49
Agent_1408446,Fashion,61.97
Agent_1755942,Fashion,84.45
Agent_603387,Home & Furniture,80.05
Agent_794329,Electronics,25.73
Agent_2026275,Electronics,26.22
Agent_517128,Electronics,47.00
Agent_265212,Home & Furniture,34.72
Agent_197290,Fashion,94.56
Agent_1514961,Electronics,68.06
Agent_1225180,Fashion,57.37
Agent_488854,Auto & Accessories,22.75
Agent_1567443,Auto & Accessories,43.67
Agent_2255590,Electronics,42.44
Agent_769721,Auto & Accessories,80.11
Agent_378492,Auto & Accessories,83.69
Agent_79359,Fashion,26.66
Agent_1827341,Auto & Accessories,85.95
Agent_509204,Electronics,6.82
Agent_2330605,Fashion,69.84
Agent_1822393,Fashion,13.67
Agent_2302430,Auto & Accessories,73.56
Agent_1712532,Fashion,18.67
Agent_1137046,Home & Furniture,79.67
Agent_1335741,Home & Furniture,70.44
Agent_1229951,Auto & Accessories,14.13
